sector.name,subsector.name,intermittent.technology,year,input.OM.fixed,OM.fixed
electricity,wind,wind_offshore,2050,OM-fixed,14.02
electricity,wind,wind_offshore,2055,OM-fixed,13.27
electricity,wind,wind_offshore,2060,OM-fixed,12.75
electricity,wind,wind_offshore,2065,OM-fixed,12.38
electricity,wind,wind_offshore,2070,OM-fixed,12.13
electricity,wind,wind_offshore,2075,OM-fixed,11.96
electricity,wind,wind_offshore,2080,OM-fixed,11.83
electricity,wind,wind_offshore,2085,OM-fixed,11.75
electricity,wind,wind_offshore,2090,OM-fixed,11.69
electricity,wind,wind_offshore,2095,OM-fixed,11.65
electricity,wind,wind_offshore,2100,OM-fixed,11.62
