# iron and steel technologies,
subsector,technology
BLASTFUR,BLASTFUR
BLASTFUR,BLASTFUR CCS
BLASTFUR,BLASTFUR with hydrogen
BLASTFUR,Biomass-based
EAF with DRI,EAF with DRI
EAF with DRI,EAF with DRI CCS
EAF with DRI,Hydrogen-based DRI
EAF with scrap,EAF with scrap
