Pakistan,iron and steel,EAF with scrap,0.0271647,0.0103663,0.159649,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876,0.670876
Russia,iron and steel,EAF with scrap,0.22843,0.18976,0.297073,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219,0.281219
South Africa,iron and steel,EAF with scrap,0.183918,0.319005,0.240077,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963,0.232963
South America_Northern,iron and steel,EAF with scrap,0.198267,0.181454,0.054765,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592,0.0752592
South America_Southern,iron and steel,EAF with scrap,0.688327,0.956305,0.257318,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365,0.289365
South Asia,iron and steel,EAF with scrap,0.359267,0.347637,0.343761,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555,0.585555
South Korea,iron and steel,EAF with scrap,0.881816,1.55078,1.41751,0.587964,0.490973,0.393982,0.296991,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Southeast Asia,iron and steel,EAF with scrap,0.291692,0.322478,0.31759,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546,0.290546
Taiwan,iron and steel,EAF with scrap,0.381267,0.713392,0.533785,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288,0.331288
USA,iron and steel,EAF with scrap,1.18706,1.64201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
